nombre;presentacion;marca;diferenciador;precio;imagen
Bebida en Polvo ;30g ;Suntea ;Te Maracuya ;2500;productos/sqi7dun4vy22rust01of
Bebida en Polvo ;100g;Milo ;;3900;productos/vht5ze8eofoy8vhc03oc
Bebida en Polvo ;10g;Light Ya ;Frutas Tropicales;1200;productos/x0yt1sij5ttogexxw1ef
Bebida en Polvo ;10g;Light Ya ;Limon ;1200;productos/z9z6jl9ct2rsktazxbzh
Bebida en Polvo ;200g;Chocolisto ;Fresa ;3600;productos/yyqkapw6ufsl69eojgjy
Bebida en Polvo ;200g;Nesquik;Fresa ;4700;productos/lmkq28rbcx9ecn9siwxy
Bebida en Polvo ;266g;Suntea ;Te Durazno ;5500;productos/pdx9kirjze2q5c9nmcpj
Bebida en Polvo ;266g;Suntea ;Te Limon ;5500;productos/rrirj2wcbgec5hk4x1zg
Bebida en Polvo ;30g ;Nestea ;Te Splash Durazno ;1200;productos/m4gs33lhshmisyuyhxw8
Bebida en Polvo ;30g ;Nestea ;Te Splash Limon ;1200;productos/ymguzktwp3be1awqpq2i
Bebida en Polvo ;30g ;Suntea ;Te Manzana ;2500;productos/inqxcdkzjo8oezrfzldm
Bebida en Polvo ;400g;Milo ;;13900;productos/m851fvmk8mkh4k6yirdp
Bebida en Polvo ;450g;Nestea ;Te Classic Durazno;6900;productos/g71movyts3u5b89imacb
Bebida en Polvo ;450g;Nestea ;Te Classic Limon;6900;productos/k7yyx9yhpsoamaavpjbc
Bebida Hidratante ;500ml ;Gatorade;Frutas Tropicales;2900;productos/dsxhnnhggldjpfe3dpcb
Bebida Hidratante ;500ml;Gatorade;Mandarina ;2900;productos/d3r8ujxstoks8myrz5bt
Bebida Hidratante ;500ml;Gatorade;Maracuya;2900;productos/q03jw9awx7b3bjrd5zzg
Bebida Hidratante ;500ml;Gatorade;Uva;2900;productos/lqbp7z6i4d4jghxicsfm
Bebida Lactea ;100g;Yox;Defensis Fresa;1500;productos/xqwowohp59xbbkzr6fxa
Bebida Lactea ;100g;Yox;Defensis Melocoton ;1500;productos/ools4labup8gtbeglrr3
Bebida Lactea ;100g;Yox;Defensis Multifrutas;1500;productos/oizt6yx5jzizy3w1bzol
Bebida Lactea ;170g;Finesse;Con Musli;2900;productos/uofeonq7cdqtotcovabv
Betun;100g;Cherry;Negro;7700;productos/a5nnors8mlty16ucowg7
Bimboletes ;55g;Bimbo ;Vainilla ;1000;productos/sdicacylzleo7s8guij1
Bolsa Cierre ;25u;Reynolds;;10300;productos/ensdcufeje78gcflcmoh
Bon Bon Bum;Unidad;Bon Bon Bum;Fresa;400;productos/no9ir4hwesvppdf6n047
Bon Bon Bum;Unidad;Bon Bon Bum;Mandarina ;400;productos/bqdogfnnqgbtav3zphwz
Bon Bon Bum;24u;Bon Bon Bum;Rojo Fresa ;7400;productos/zrjulozldawgsb7d7q9w
Bon Bon Bum;24u;Bon Bon Bum;Surtido ;7400;productos/zhwaeiacgunlbrdtjpjl
Bon Bon Bum;Unidad;Bon Bon Bum;Limonada de Coco ;400;productos/fozs75n90uyrbyce251l
Bon Bon Bum;Unidad;Bon Bon Bum;Uva ;400;productos/rb02fvmwwt7b1nwzpxcr
Bon Bon Bum;24u;Bon Bon Bum;Blue Razz ;7400;productos/u9a6195ulogisp2ah7tv
Bon Bon Bum;24u;Bon Bon Bum;Limonada de Coco ;7400;productos/pzzzbnc2rlzhdmfm1yzd
Bon Bon Bum;24u;Bon Bon Bum;Sandia ;7400;productos/sohg9i6ioxqftys8pgeq
Bon Bon Bum;24u;Bon Bon Bum;Maracuya ;7400;productos/xllomlziy0ket5edwkkh
Bonfiest;6u;Bonfiest;Lua Plus ;10900;productos/gpbh4gixtagfaev6schd
Bonyurt;140g;Alpina;Galleta Triturada ;2100;productos/fpnrgncmxgcij2xcqepy
Bonyurt;161g;Alpina;Chokogozzo;2000;productos/fgck9epe26mmdmlxh1zx
Bonyurt;169g;Alpina;Choco Krispis;2800;productos/c8gsjepzjntl0equxkco
Bonyurt;169g;Alpina;Froots Loops;2800;productos/xyqdtfwszlrng1eu7q6x
Bonyurt;170g;Alpina;Zucaritas;2800;productos/hgplcm8xlbrxixesxijx
Bonyurt;169g;Alpina;Musli;2800;productos/ajy6nlgzhqwh9t3te9gk
Brandy;750ml;Domecq;;31950;productos/bcyaeq5gdt0mgkvquxjx
Brandy;750ml;Gran Prix;;47900;productos/mbnrz5ov7rnltuwir04h
Bronquisol;120ml;Jgb;Con Miel;12230;productos/dd7out8aaptnescjuz5w
Brownie ;50g;Mama-ia;Chocolate ;2400;productos/c9hwa5dchp3iotbd6wyq
Brownie ;50g;Mama-ia;Chocolate con Azucar;2400;productos/yx2qzhj2elvcmc2hihca
Brownie ;65g;Choco Brownie ;Arequipe ;1900;productos/elhxixyx5tznhhgrbdnz
Brownie ;70g;Mr Brown;Chocolate;2400;productos/z1b8ntatxtdevfao1bhw
Brownie ;80g;Mr Brown;Arequipe ;2400;productos/kzdkafabgtsv45icvf6a
Buscapina;10 Comprimidos;BI;Compositum;8420;productos/lc4flj5gleup3nev35tm
Cabello de Angel ;250g;Doria ;;2500;productos/asymr6prdmzont7qnxse
Caldo de Gallina;12u;Maggi;;3700;productos/dwwnh9y7qqmwp5x9piv0
Canela ;20g;El Rey ;;2500;productos/yjyqxduzadoc4lhmd9cu
Canela Molida ;50g;El Rey ;;1600;productos/pogw4cpcqjgplxr9sais
Caramelos ;100u;Coffee Delight ;;7500;productos/xsdc2fituwwojnznsebc
Caramelos ;25g;Sparkies;;1500;productos/hxm4olqbc7gtywffbtuu
Caramelos ;32g;Grissly ;;1500;productos/erextu3pct7n8drejj73
Caramelos ;46.7g;Nerds;Double Dipped;3500;productos/oxuwm35j40smfipmhol5
Caramelos ;46.7g;Nerds;Grape Strawberry ;3500;productos/pvtpnjz5m6zduhduz7mk
Caramelos ;46.7g;Nerds;Wild Cherry Watermelon ;3500;productos/nvnseylbcvsamcjtg4qc
Caramelos ;61.5g;Skittles;Original ;2500;productos/p8z9uf0ysrsahkree5ca
Caramelos ;61.5g;Skittles;Tropical ;2500;productos/tdmlk3ropvvu8zomic8x
Caramelos ;61.5g;Skittles;Wild Berry ;2500;productos/h5gx4syjvv0knhllzx7p
Caramelos Masticables ;25g;Efrutti ;Peach Rings ;2900;productos/pjviomjz8plqwezwqvgz
Carne de Diablo ;80g;Zenu;;3900;productos/nnnbnvbsvhnhgkh42nl0
Centrum;60 Tabletas;Wyeth CHC;Con Luteina;35500;productos/jpxovvlwhn0vt2v0290q
