nombre,presentacion,marca,diferenciador,precio,imagen
Brownie ,50g,Mama-ia,Chocolate ,2400,productos/rwqkzwnk4hfu0tnvpe2k
Brownie ,50g,Mama-ia,Chocolate con Azucar,2400,productos/ggnus1w3fctlfttlxeff
Brownie ,65g,Choco Brownie ,Arequipe ,1900,productos/uytyoyg3azy6p9twbv3x
Brownie ,70g,Mr Brown,Chocolate,2400,productos/vg0ki4dpf411okwy8gbq
Brownie ,80g,Mr Brown,Arequipe ,2400,productos/ua3dend30jhcvw1dmcpp
Buscapina,10 Comprimidos,BI,Compositum,8420,productos/xprapsugnsmifjz4dw9a
Cabello de Angel ,250g,Doria ,,2500,productos/q1y2nec1n0dt7lbrpfkr
Caldo de Gallina,12u,Maggi,,3700,productos/sltmrawaptbbv4nziof0
Canela ,20g,El Rey ,,2500,productos/x0ktvwqsol6wml6fnyuv
Canela Molida ,50g,El Rey ,,1600,productos/jixiwzlk5xwfcya873oe
Caramelos ,100u,Coffee Delight ,,7500,productos/fakvn7bom1yhcowkpgk6
Caramelos ,25g,Sparkies,,1500,productos/ucesfriw4mwj5nmydqv2
Jamon,450g,Pietran,,12400,productos/vkwfy7fw4vtn63ihxkcm
Alimento Perro,1.5K,Purina Cat Chow,Adultos Activos,23600,productos/hn6efi0b7wqggahpy3f4
Cepillo de  Dientes,Unidad,Colgate,360 Sensitive,13890,productos/runscuz9y5obovzs4abv
Cepillo de  Dientes,Unidad,Pro,Doble Accion ,7400,productos/eqbrgmiclx9aqii53sxe
Cepillo de Dientes,Unidad,Oral-B,Medio 40,16650,productos/hsdznrdi3f4br5j76brc
Cepillo de Dientes,Unidad,Pro,Deluxe,6600,productos/qkh8yevi65y51qzj4sks
Cereal ,320g,Chocho Krispis ,,10600,productos/xlg2g2kws05tky6114kt
Cereal ,400g,Special K Original ,Special K Original ,11300,productos/lzrjg1nt241ymsrfzfac
Cereal ,420g,Zucaritas ,,9600,productos/o0blym3n1skywvis4g6a
Cereal ,200g,Corn Flakes,Original,5300,productos/emfzwucsyvjvzz7dvff7
Cereal ,260g,Fitness,,9100,productos/wuan6z7asvzjdiis5knb
Cereal ,405g,Froot Loops,,15700,productos/acjgn4t9hcpsfu3c2h0k
Cerveza,330ml,Heineken,,6900,productos/pzuqwxsjhfomovvgqaqa
Cheese Tris ,45g,Cheese Tris ,,1400,productos/ymlbuc1iqe7fw9qunwhh
Cheetos ,40g,Cheetos ,Queso Cremoso ,1500,productos/wzdx145aiykracgaqnat
Cheetos ,50g,Cheetos ,Horneados Trissitos,1500,productos/hjokiijeddtgnw6ifof1
Cheetos ,53g,Cheetos ,Horneados Mix Extra Queso ,1500,productos/ypqtl4buag3dze2hfwhl
Cheetos ,50g,Cheetos ,Horneados ,1500,productos/pmwh0ocuyrms9z5pru5j
Cherry,750ml,Manischewitz,,39900,productos/htjlysvnlzclogn1nrsd
Chicarron Americano ,13g,Jacks,Natural,1500,productos/allaw5okv5f3ciftyxpy
Chicles,12u,Adams,Canela ,1500,productos/tg3ctqryez4vslu9dnqr
Chicles,12u,Adams,Menta,1500,productos/d4fbihq0ma66qghoqeso
Chicles,12u,Adams,Tutti Frutti ,1500,productos/dv0bqr4ektdqqepdk4zu
Chicles,12u,Trident ,Total Fresa,2900,productos/okvok3x5juh7ah3rd2lk
Chicles,12u,Trident ,Total Menta ,2900,productos/t3kna20q8wainkykoyeq
Chicles,12u,Trident ,Total Yerbabuena ,2900,productos/knbvoshhmqdiia1kfhim
Chicles,14u,Trident ,London Cult Mint ,2900,productos/o1gk33p0voqpg2158lpl
Chicles,14u,Trident ,Manhattan Night Mint ,2900,productos/choz5cu8tiybndgt2rn1
Chicles,18u,Trident Sensations,Island Berry Lime ,2900,productos/n3fey0d6zp44pstmlq38
Chicles,18u,Trident ,Mint Bliss ,2900,productos/kmo8lxmbsegw65gsw44s
Chicles,18u,Trident Sensations,Durazno Mango ,2900,productos/cuwtd8iozzdonatrstin
Chicles,8u,Trident Splash,Fresa con Limon ,2500,productos/fvjobb0qvvwexd8gk8ia
Chicles,18u,Trident ,Wintergreen,2900,productos/hhouxiuejs6dbnvaxlah
Chicles,6u,Trident Fresh,Intense ,1900,productos/kfqzqbmxo0jgcqx5z4mv
Chicles,6u,Trident ,Menta,1500,productos/gxuhrp9nkfxkxnjfvrmf
Chicles,6u,Trident ,Mora Azul ,1500,productos/kp8uuhb5stcl65q5cvml
Chicles,6u,Trident ,Sandia ,1500,productos/ttfx2ajq3nvb06cdciv3
Chicles,6u,Trident ,Total Menta ,1900,productos/dmk9wjgzysjuayhj2osd
Chicles,6u,Trident ,Tropical ,1500,productos/hhqqst7fgk1orjyqpipe
Chicles,8u,Trident Splash,Menta con Vainilla ,2500,productos/gyx0ua19opjpmbzjyprl
Chiclets ,12u,Adams,Yerbabuena ,1500,productos/aaqczauneh8nfkicrddq
Choco Break ,50u,Choco Break ,Ball,5700,productos/hv5ox39civbgyzun5g9m
Chocolate ,250g,Corona ,Tradicional ,3100,productos/cousfdursxiv6apye3zt
Chocolate ,250g,Diana ,Clavos y Canela ,3400,productos/puhuwmkvn4n8g5s5tpgl
Chocolate ,250g,Sol,Con Azucar,3400,productos/txaf0vm2naqwsrzn6tzd
Chocolate ,500g,Bogotano ,Chocolate de Mesa con Azucar ,6100,productos/e6y8jzqjeicyyyfhwtbz
Chocolate ,500g,Corona ,Tradicional ,5900,productos/vkkqbs3vf3rblqrrtqtr
Chocolate ,500g,Diana ,Clavos y Canela ,5900,productos/s6irpfoz85gxqomiuqmv
Chocolate ,500g,Sol,Con Azucar,5900,productos/nxlet8wwsyhfovdt9bkz
Chocolatina ,100g,Jumboo ,Mani ,4000,productos/sdmcswoakm6dkix4ozal
Chocolatina ,12g,Jet ,,500,productos/ues3phq4lvevvflqmen8
Chocolatina ,22g,Jet ,Wafer ,1300,productos/qcrtdxvsrtk1twph51m0
Chocolatina ,24g,Jet ,Blanca ,1400,productos/jmikc4bkqjgp4skzsqoq
Chocolatina ,30g ,Jet ,,1500,productos/fjcpjll65lmwppqsruxw
Chocolatina ,40g,Jumbo ,Mani ,2800,productos/i9mrsk2yod75nlj8kt0y
Chocolatina ,52.7g,Snickers,,2500,productos/s9kz6b2j0dl6uwcet7ov
Chocolatina ,52g,Milky Way ,,2500,productos/j1k03w260xdlihtz19db
Chokis ,19g,Chokis ,,1500,productos/ug0eqtrehbt1etsy8tfd
Cholitos ,240g,Choclitos ,Limon XXL,3500,productos/masfm3ybul446jz1irrh
Cholitos ,29g,Choclitos ,Limon ,900,productos/iekqd3xszt0n6w7mohkk
Chupeta ,25u,Tipitin ,Leche ,2000,productos/ssw3kcvfmu4ssa7a8rk2
Chupeta,24u,Pirulito ,Leche ,4500,productos/zuxqpglpojxrtstk8oxq
Cigarrillos ,10u,Belmont,,1900,productos/ecnke17tfx8md1mrhsqn
Cigarrillos ,10u,Kool,Blue,2500,productos/l4q4vpqsmj8tdncav6xy
Cigarrillos ,10u,Kool,White,2500,productos/zdz6vbv5xbgobrbnaqd2
Cigarrillos ,10u,Marlboro ,Gold,2500,productos/ymfmfbc74ztvsj25cnhi
Cigarrillos ,10u,Marlboro ,Ice Express,2500,productos/zoaqet76qe7kce6lbqdg
Cigarrillos ,10u,Mustang,,1900,productos/yjuvdduwxc4qfdgkltz4
Cigarrillos ,20u,Kool,Blue,4900,productos/nfiezwqfxhzyplxhdccj
Cigarrillos ,20u,Kool,White,4900,productos/hqeuqslqetec1whodgsa
Cigarrillos ,20u,Lucky Strike,,4900,productos/okjsh7qbj5cjveaoh0jj
Cigarrillos ,20u,Mustang ,,4000,productos/khskdsghum2euqsjffz5
Cigarrillos ,18u,Piel Roja,,3200,productos/ws2qalwuxoogiktzxkjc
Clorox,1000 cm3,Clorox,Lavanda,3720,productos/oo4m8alkym0fanvvkpln
Clorox,1000 cm3,Clorox,Regular,3420,productos/dcfxaxmlyb5jrzxohp3r
