nombre,presentacion,marca,diferenciador,precio,imagen
Chicles,14u,Trident ,Manhattan Night Mint ,2900,Chicles14uTrident Manhattan Night Mint .jpg
Chicles,18u,Trident Sensations,Island Berry Lime ,2900,Chicles18uTrident Island Berry Lime .jpg
Chicles,18u,Trident ,Mint Bliss ,2900,Chicles18uTrident Mint Bliss .jpg
Chicles,18u,Trident Sensations,Durazno Mango ,2900,Chicles18uTrident SensationsDurazno Mango .jpg
Chicles,8u,Trident Splash,Fresa con Limon ,2500,Chicles18uTrident SplashFresa con Limon .jpg
Chicles,18u,Trident ,Wintergreen,2900,Chicles18uTrident Wintergreen.jpg
Chicles,6u,Trident Fresh,Intense ,1900,Chicles6uTrident FreshIntense .jpg
Chicles,6u,Trident ,Menta,1500,Chicles6uTrident Menta.jpg
Chicles,6u,Trident ,Mora Azul ,1500,Chicles6uTrident Mora Azul .jpg
Chicles,6u,Trident ,Sandia ,1500,Chicles6uTrident Sandia .jpg
Chicles,6u,Trident ,Total Menta ,1900,Chicles6uTrident Total Menta .jpg
Chicles,6u,Trident ,Tropical ,1500,Chicles6uTrident Tropical .jpg
Chicles,8u,Trident Splash,Menta con Vainilla ,2500,Chicles8uTrident SplashMenta con Vainilla .jpg
Chiclets ,12u,Adams,Yerbabuena ,1500,Chiclets 12uAdamsYerbabuena .jpg
Choco Break ,50u,Choco Break ,Ball,5700,Choco Break 50uChoco Break Ball.jpg
Chocolate ,250g,Corona ,Tradicional ,3100,Chocolate 250gCorona Tradicional .jpg
Chocolate ,250g,Diana ,Clavos y Canela ,3400,Chocolate 250gDiana Clavos y Canela .jpg
Chocolate ,250g,Sol,Con Azucar,3400,Chocolate 250gSolCon Azucar.jpg
Chocolate ,500g,Bogotano ,Chocolate de Mesa con Azucar ,6100,Chocolate 500gBogotano Chocolate de Mesa con Azucar .jpg
Chocolate ,500g,Corona ,Tradicional ,5900,Chocolate 500gCorona Tradicional .jpg
Chocolate ,500g,Diana ,Clavos y Canela ,5900,Chocolate 500gDiana Clavos y Canela .jpg
Chocolate ,500g,Sol,Con Azucar,5900,Chocolate 500gSolCon Azucar.jpg
Chocolatina ,100g,Jumboo ,Mani ,4000,Chocolatina 100gJumboo Mani .jpg
Chocolatina ,12g,Jet ,,500,Chocolatina 12gJet .jpg
Chocolatina ,22g,Jet ,Wafer ,1300,Chocolatina 22gJet Wafer .jpg
Chocolatina ,24g,Jet ,Blanca ,1400,Chocolatina 24gJet Blanca .jpg
Chocolatina ,30g ,Jet ,,1500,Chocolatina 30g Jet .jpg
Chocolatina ,40g,Jumbo ,Mani ,2800,Chocolatina 40gJumbo Mani .jpg
